5,33.4131,68.09326,25,,,,,,,,,,,,,,
5,33.4131,68.09326,80,,,,,,,,,,,,,,
5,32.54681,64.07227,37,,,,,,,,,,,,,,
5,28.31405,65.2478,2,,,,,,,,,,,,,,
5,33.65121,64.07227,14,,,,,,,,,,,,,,
5,33.93911,67.70995,26,,,,,,,,,,,,,,
5,34.01200,65.29296,1,,,,,,,,,,,,,,
7,36.73477,70.811995,350,,,,,,,,,,,,,,
2,35.16713,63.76954,6000,,,,,,,,,,,,,,
2,33.92513,66.26953,3013,,,,,,,,,,,,,,
2,26.41813,-0.60147,87,,,,,,,,,,,,,,
2,-16.4905382,14.6223476,99,,,,,,,,,,,,,,
2,-11.24054,17.84369,2657,,,,,,,,,,,,,,
2,-11.12097,17.80746,1679,,,,,,,,,,,,,,
2,-13.000532,17.87389,16,,,,,,,,,,,,,,
2,-16.41808,18.80762,320,,,,,,,,,,,,,,
2,-14.92806,14.65878,35,,,,,,,,,,,,,,
2,-16.4905382,14.6223476,19,,,,,,,,,,,,,,
2,-7.17367,15.40681,45,,,,,,,,,,,,,,
2,-7.17367,15.40681,66,,,,,,,,,,,,,,
5,-11.236546,17.873887,24,,,,,,,,,,,,,,
5,-13.41099,16.78711,5,,,,,,,,,,,,,,
2,-34.60372,-58.38159,1,,,,,,,,,,,,,,
2,-34.60372,-58.38159,1,,,,,,,,,,,,,,
7,-38.4161,-63.61667,597,,,,,,,,,,,,,,
7,-32.89018,-68.84405,71,,,,,,,,,,,,,,
7,-23.805604,151.254637,65,,,,,,,,,,,,,,
7,-33.28462,144.31641,13046,,,,,,,,,,,,,,
7,-26.71617,122.10205,3597,,,,,,,,,,,,,,
7,-20.91757,142.7028,1505,,,,,,,,,,,,,,
7,-33.13755,146.42578,3722,,,,,,,,,,,,,,
7,-37.81355,144.95975,4606,,,,,,,,,,,,,,
7,-37.56365,143.86719,218,,,,,,,,,,,,,,
2,-38.471308,140.785153,18,,,,,,,,,,,,,,
2,47.264901,14.89393,37,,,,,,,,,,,,,,
2,-27.672817,121.62831,2,,,,,,,,,,,,,,
